"chemical" "ProteinID"
"CIDm00000191" "b1676"
"CIDm00000191" "b1772"
"CIDm00000191" "b1854"
"CIDm00000191" "b2040"
"CIDm00000191" "b2100"
"CIDm00000191" "b2114"
"CIDm00000191" "b2160"
"CIDm00000191" "b2166"
"CIDm00000191" "b2234"
"CIDm00000191" "b2400"
"CIDm00000191" "b2407"
"CIDm00000191" "b2607"
"CIDm00000191" "b2675"
"CIDm00000191" "b2743"
"CIDm00000191" "b2942"
"CIDm00000191" "b2946"
"CIDm00000191" "b3255"
"CIDm00000191" "b3374"
"CIDm00000191" "b3526"
"CIDm00000191" "b3752"
"CIDm00000191" "b3831"
"CIDm00000191" "b3973"
"CIDm00000191" "b4055"
"CIDm00000191" "b4384"
"CIDm00000196" "b1120"
"CIDm00000196" "b1204"
"CIDm00000197" "b0003"
"CIDm00000197" "b0014"
"CIDm00000197" "b0025"
"CIDm00000197" "b0032"
"CIDm00000197" "b0033"
"CIDm00000197" "b0036"
"CIDm00000197" "b0047"
"CIDm00000197" "b0049"
"CIDm00000197" "b0085"
"CIDm00000197" "b0086"
"CIDm00000197" "b0088"
"CIDm00000197" "b0092"
"CIDm00000197" "b0098"
"CIDm00000197" "b0099"
"CIDm00000197" "b0103"
"CIDm00000197" "b0115"
"CIDm00000197" "b0116"
"CIDm00000197" "b0142"
"CIDm00000197" "b0148"
"CIDm00000197" "b0155"
"CIDm00000197" "b0198"
"CIDm00000197" "b0199"
"CIDm00000197" "b0200"
"CIDm00000197" "b0242"
"CIDm00000197" "b0304"
"CIDm00000197" "b0312"
"CIDm00000197" "b0315"
"CIDm00000197" "b0318"
"CIDm00000197" "b0320"
"CIDm00000197" "b0323"
"CIDm00000197" "b0333"
"CIDm00000197" "b0381"
"CIDm00000197" "b0385"
"CIDm00000197" "b0388"
"CIDm00000197" "b0394"
"CIDm00000197" "b0397"
"CIDm00000197" "b0398"
"CIDm00000197" "b0400"
"CIDm00000197" "b0417"
"CIDm00000197" "b0423"
"CIDm00000197" "b0438"
"CIDm00000197" "b0439"
"CIDm00000197" "b0448"
"CIDm00000197" "b0449"
"CIDm00000197" "b0450"
"CIDm00000197" "b0451"
"CIDm00000197" "b0470"
"CIDm00000197" "b0473"
"CIDm00000197" "b0474"
"CIDm00000197" "b0477"
"CIDm00000197" "b0478"
"CIDm00000197" "b0480"
"CIDm00000197" "b0484"
"CIDm00000197" "b0518"
"CIDm00000197" "b0521"
"CIDm00000197" "b0522"
"CIDm00000197" "b0523"
"CIDm00000197" "b0570"
"CIDm00000197" "b0638"
"CIDm00000197" "b0640"
"CIDm00000197" "b0650"
"CIDm00000197" "b0676"
"CIDm00000197" "b0720"
"CIDm00000197" "b0727"
"CIDm00000197" "b0728"
"CIDm00000197" "b0729"
"CIDm00000197" "b0757"
"CIDm00000197" "b0778"
"CIDm00000197" "b0779"
"CIDm00000197" "b0797"
"CIDm00000197" "b0820"
"CIDm00000197" "b0833"
"CIDm00000197" "b0852"
"CIDm00000197" "b0879"
"CIDm00000197" "b0882"
"CIDm00000197" "b0890"
"CIDm00000197" "b0910"
"CIDm00000197" "b0914"
"CIDm00000197" "b0915"
"CIDm00000197" "b0949"
"CIDm00000197" "b0955"
"CIDm00000197" "b0993"
"CIDm00000197" "b1025"
"CIDm00000197" "b1045"
"CIDm00000197" "b1098"
"CIDm00000197" "b1099"
"CIDm00000197" "b1106"
"CIDm00000197" "b1117"
"CIDm00000197" "b1119"
"CIDm00000197" "b1129"
"CIDm00000197" "b1134"
"CIDm00000197" "b1163"
"CIDm00000197" "b1168"
"CIDm00000197" "b1174"
"CIDm00000197" "b1175"
"CIDm00000197" "b1198"
"CIDm00000197" "b1199"
"CIDm00000197" "b1200"
"CIDm00000197" "b1201"
"CIDm00000197" "b1207"
"CIDm00000197" "b1208"
"CIDm00000197" "b1222"
"CIDm00000197" "b1235"
"CIDm00000197" "b1238"
"CIDm00000197" "b1241"
"CIDm00000197" "b1250"
"CIDm00000197" "b1253"
"CIDm00000197" "b1285"
"CIDm00000197" "b1297"
"CIDm00000197" "b1300"
"CIDm00000197" "b1303"
"CIDm00000197" "b1308"
"CIDm00000197" "b1334"
"CIDm00000197" "b1341"
"CIDm00000197" "b1343"
"CIDm00000197" "b1385"
"CIDm00000197" "b1393"
"CIDm00000197" "b1394"
"CIDm00000197" "b1395"
"CIDm00000197" "b1397"
"CIDm00000197" "b1398"
"CIDm00000197" "b1413"
"CIDm00000197" "b1415"
"CIDm00000197" "b1444"
"CIDm00000197" "b1489"
"CIDm00000197" "b1490"
"CIDm00000197" "b1507"
"CIDm00000197" "b1511"
"CIDm00000197" "b1522"
"CIDm00000197" "b1525"
"CIDm00000197" "b1592"
"CIDm00000197" "b1594"
"CIDm00000197" "b1636"
"CIDm00000197" "b1640"
"CIDm00000197" "b1676"
"CIDm00000197" "b1682"
"CIDm00000197" "b1723"
"CIDm00000197" "b1746"
"CIDm00000197" "b1759"
"CIDm00000197" "b1761"
"CIDm00000197" "b1764"
"CIDm00000197" "b1772"
"CIDm00000197" "b1794"
"CIDm00000197" "b1813"
"CIDm00000197" "b1816"
"CIDm00000197" "b1838"
"CIDm00000197" "b1849"
"CIDm00000197" "b1854"
"CIDm00000197" "b1860"
"CIDm00000197" "b1865"
"CIDm00000197" "b1882"
"CIDm00000197" "b1884"
"CIDm00000197" "b1888"
"CIDm00000197" "b1941"
"CIDm00000197" "b1956"
"CIDm00000197" "b1968"
"CIDm00000197" "b1971"
"CIDm00000197" "b2022"
"CIDm00000197" "b2051"
"CIDm00000197" "b2060"
"CIDm00000197" "b2063"
"CIDm00000197" "b2066"
"CIDm00000197" "b2067"
"CIDm00000197" "b2069"
